link, code, name
https://eu.idtdna.com/site/Catalog/Modifications/Product/1018,5Phos,5' Phosphorylation
https://eu.idtdna.com/site/Catalog/Modifications/Product/1081,5AmMC12,5' Amino Modifier C12
https://eu.idtdna.com/site/Catalog/Modifications/Product/1082,5AmMC6,5' Amino Modifier C6
https://eu.idtdna.com/site/Catalog/Modifications/Product/1086,5Sp18,5' Spacer 18
https://eu.idtdna.com/site/Catalog/Modifications/Product/1087,5SpC3,5' C3 Spacer
https://eu.idtdna.com/site/Catalog/Modifications/Product/1088,5DigN,5' Digoxigenin (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/1090,56-JOEN,5' JOE (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/1092,56-ROXN,5' ROX (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/1095,56-TAMN,5' TAMRA (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/1097,5TexRd-XN,5' Texas Red&reg;-X (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/1106,5Cy3,5' Cy3™
https://eu.idtdna.com/site/Catalog/Modifications/Product/1107,5Cy5,5' Cy5™
https://eu.idtdna.com/site/Catalog/Modifications/Product/1108,56-FAM,5' 6-FAM (Fluorescein)
https://eu.idtdna.com/site/Catalog/Modifications/Product/1109,5HEX,5' HEX
https://eu.idtdna.com/site/Catalog/Modifications/Product/1110,5TET,5' TET™
https://eu.idtdna.com/site/Catalog/Modifications/Product/1184,5Sp9,5' Spacer 9
https://eu.idtdna.com/site/Catalog/Modifications/Product/1185,5LtC640N,5' Lightcycler® 640 (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/1220,5Cy55,5' Cy5.5™
https://eu.idtdna.com/site/Catalog/Modifications/Product/1406,52-Bio,5' Dual Biotin
https://eu.idtdna.com/site/Catalog/Modifications/Product/1439,5UniAmM,5' Uni-Link™ Amino Modifier
https://eu.idtdna.com/site/Catalog/Modifications/Product/1449,55NitInd,5' 5-Nitroindole
https://eu.idtdna.com/site/Catalog/Modifications/Product/1468,5Alex532N,5' Alexa Fluor&reg; 532 (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/1604,5Acryd,5' Acrydite™
https://eu.idtdna.com/site/Catalog/Modifications/Product/1606,5BiodT,5' Biotin dT
https://eu.idtdna.com/site/Catalog/Modifications/Product/1609,55Br-dU,5' 5-Bromo dU
https://eu.idtdna.com/site/Catalog/Modifications/Product/1615,5Me-dC,5' 5-Methyl dC
https://eu.idtdna.com/site/Catalog/Modifications/Product/1622,5FluorT,5' Fluorescein dT
https://eu.idtdna.com/site/Catalog/Modifications/Product/1644,5Alex546N,5' Alexa Fluor&reg; 546 (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/1678,5Alex647N,5' Alexa Fluor&reg; 647 (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/1681,5ThioMC6-D,5' Thiol Modifier C6 S-S
https://eu.idtdna.com/site/Catalog/Modifications/Product/1682,5dSp,5' 1’,2’-Dideoxyribose (dSpacer)
https://eu.idtdna.com/site/Catalog/Modifications/Product/1712,5Alex488N,5' Alexa Fluor&reg; 488 (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/1715,5Alex594N,5' Alexa Fluor&reg; 594 (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/1723,5IRD700,5'  IRDye® 700
https://eu.idtdna.com/site/Catalog/Modifications/Product/1724,5IRD800,5'  IRDye® 800
https://eu.idtdna.com/site/Catalog/Modifications/Product/1725,5AmdA,5' 2,6-Diaminopurine (2-Amino-dA)
https://eu.idtdna.com/site/Catalog/Modifications/Product/1732,5RhoG-XN,5' Rhodamine Green™-X (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/1735,5RhoR-XN,5' Rhodamine Red™ (NHS Ester)
https://eu.idtdna.com/site/Catalog/Modifications/Product/1737,5deoxyI,5' deoxyInosine
https://eu.idtdna.com/site/Catalog/Modifications/Product/1738,5deoxyU,5' deoxyUridine
https://eu.idtdna.com/site/Catalog/Modifications/Product/1739,5AmMC6T,5' Amino Modifier C6 dT
https://eu.idtdna.com/site/Catalog/Modifications/Product/1749,5IAbRQ,5' Iowa Black&reg RQ
https://eu.idtdna.com/site/Catalog/Modifications/Product/1793,5ILink12,5' I-Linker
https://eu.idtdna.com/site/Catalog/Modifications/Product/1894,5YakYel,5' Yakima Yellow&reg
